run,seed,corruption,severity,recurrence,wrong_to_correct,correct_to_wrong,wrong_to_correct_probability,correct_to_wrong_probability,confidence_amplifications,confidence_amplification_probability
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,12,0,0,0.0,0.0,893,0.893
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,13,1,0,0.0011185682326621924,0.0,893,0.893
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,14,0,0,0.0,0.0,898,0.898
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,15,1,0,0.0011198208286674132,0.0,896,0.896
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,16,0,0,0.0,0.0,898,0.898
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,17,0,0,0.0,0.0,897,0.897
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,18,0,1,0.0,0.00925925925925926,896,0.896
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,19,0,0,0.0,0.0,901,0.901
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,20,0,1,0.0,0.009345794392523364,915,0.915
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,21,0,0,0.0,0.0,916,0.916
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,22,0,2,0.0,0.01886792452830189,909,0.909
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,23,0,0,0.0,0.0,914,0.914
